timestamp,user,enabled_roles,operation,entity_kind,entity,what_changed,affected_role
2026-09-17T15:43:54.643102Z,dv-admin,sysadmin,Create,Row filter,js_financial_ice.gov_demo.payment_business_summary,Add row filter with expression 'gov_demo_thailand_only',gov_thailand_analyst
2026-09-17T15:43:54.599887Z,dv-admin,sysadmin,Create,Row filter,js_financial_ice.gov_demo.customer_transactions,Add row filter with expression 'gov_demo_thailand_only',gov_thailand_analyst
2026-09-17T15:43:54.564433Z,dv-admin,sysadmin,Create,Row filter,js_financial_ice.gov_demo.customer_transactions,Add row filter with expression 'gov_demo_fraud_only',gov_fraud_analyst
2026-09-17T15:43:54.528953Z,dv-admin,sysadmin,Create,Row filter expression,transaction_status = 'APPROVED',Add expression 'gov_demo_approved_only',
2026-09-17T15:43:54.494204Z,dv-admin,sysadmin,Create,Row filter expression,country_code = 'TH',Add expression 'gov_demo_thailand_only',
2026-09-17T15:43:54.460031Z,dv-admin,sysadmin,Create,Row filter expression,"COALESCE(fraud_flag, false) OR COALESCE(risk_score, 0) >= 0.70",Add expression 'gov_demo_fraud_only',
2026-09-17T15:43:54.049592Z,dv-admin,sysadmin,Delete,Row filter expression,transaction_status IS DISTINCT FROM 'APPROVED',Delete expression 'gov_demo_approved_only',
2026-09-17T15:43:54.014113Z,dv-admin,sysadmin,Delete,Row filter expression,"NOT (COALESCE(fraud_flag, false) OR COALESCE(risk_score, 0) >= 0.70)",Delete expression 'gov_demo_fraud_only',
2026-09-17T15:43:53.979602Z,dv-admin,sysadmin,Delete,Row filter expression,country_code IS DISTINCT FROM 'TH',Delete expression 'gov_demo_thailand_only',
2026-09-17T15:43:53.910472Z,dv-admin,sysadmin,Delete,Row filter,js_financial_ice.gov_demo.customer_transactions,Delete row filter with expression '2',gov_thailand_analyst
2026-09-17T15:43:53.875023Z,dv-admin,sysadmin,Delete,Row filter,js_financial_ice.gov_demo.payment_business_summary,Delete row filter with expression '2',gov_thailand_analyst
2026-09-17T15:43:53.807810Z,dv-admin,sysadmin,Delete,Row filter,js_financial_ice.gov_demo.customer_transactions,Delete row filter with expression '1',gov_fraud_analyst
2026-09-17T15:43:12.806686Z,dv-admin,sysadmin,Create,Column mask,js_financial_ice.gov_demo.customer_transactions.account_id,Add column mask with expression 'gov_demo_mask_account_partial',gov_thailand_analyst
2026-09-17T15:43:12.772550Z,dv-admin,sysadmin,Create,Column mask,js_financial_ice.gov_demo.customer_transactions.email,Add column mask with expression 'gov_demo_mask_email_full',gov_thailand_analyst
2026-09-17T15:43:12.736802Z,dv-admin,sysadmin,Create,Column mask,js_financial_ice.gov_demo.customer_transactions.mobile_number,Add column mask with expression 'gov_demo_mask_mobile_full',gov_thailand_analyst
2026-09-17T15:43:12.701308Z,dv-admin,sysadmin,Create,Column mask,js_financial_ice.gov_demo.customer_transactions.national_id,Add column mask with expression 'gov_demo_mask_full_string',gov_thailand_analyst
