timestamp,user,enabled_roles,action,entity_category,entity,result,query_id
2026-09-17T15:45:35.628913Z,gov-audit,gov_auditor|public,SHOW,Roles,All roles,ALLOW,20260917_154535_01599_ueuue
2026-09-17T15:45:35.628612Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01599_ueuue
2026-09-17T15:45:35.583705Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01598_ueuue
2026-09-17T15:45:35.541067Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01597_ueuue
2026-09-17T15:45:35.454705Z,gov-audit,gov_auditor|public,INSERT,Tables,js_financial_ice.gov_demo.customer_transactions.*,DENY,20260917_154535_01596_ueuue
2026-09-17T15:45:35.448661Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01596_ueuue
2026-09-17T15:45:35.403993Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01595_ueuue
2026-09-17T15:45:35.361956Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01594_ueuue
2026-09-17T15:45:35.275140Z,gov-audit,gov_auditor|public,SELECT,Tables,js_financial_ice.gov_demo.customer_transactions.national_id,DENY,20260917_154535_01593_ueuue
2026-09-17T15:45:35.269985Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01593_ueuue
2026-09-17T15:45:35.225705Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01592_ueuue
2026-09-17T15:45:35.182092Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01591_ueuue
2026-09-17T15:45:35.103606Z,gov-audit,gov_auditor|public,SELECT,Tables,js_financial_ice.gov_demo.customer_transactions.*,DENY,20260917_154535_01590_ueuue
2026-09-17T15:45:35.097372Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01590_ueuue
2026-09-17T15:45:35.052736Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01589_ueuue
2026-09-17T15:45:35.009627Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154535_01588_ueuue
2026-09-17T15:45:34.910709Z,gov-audit,gov_auditor|public,SHOW,Tables,js_financial_ice.gov_demo.*,ALLOW,20260917_154534_01587_ueuue
2026-09-17T15:45:34.910384Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154534_01587_ueuue
2026-09-17T15:45:34.863424Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154534_01586_ueuue
2026-09-17T15:45:34.821554Z,gov-audit,gov_auditor|public,EXECUTE,Queries,,ALLOW,20260917_154534_01585_ueuue
2026-09-17T15:45:34.745270Z,gov-tha,gov_thailand_analyst|public,DELETE,Tables,js_financial_ice.gov_demo.customer_transactions.*,DENY,20260917_154534_01584_ueuue
2026-09-17T15:45:34.739721Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154534_01584_ueuue
2026-09-17T15:45:34.696040Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154534_01583_ueuue
2026-09-17T15:45:34.655029Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154534_01582_ueuue
2026-09-17T15:45:34.549927Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.*,ROW_FILTER,20260917_154534_01581_ueuue
2026-09-17T15:45:34.547575Z,gov-tha,gov_thailand_analyst|public,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[fraud_flag,account_id,country_code,customer_name,mobile_number,investigation_status,risk_score,transaction_i...",ALLOW,20260917_154534_01581_ueuue
